filename,n_gt_voxels,n_lost,frac_lost,volume_reduction,z_capped,uncapped_z_extent_mm
20251028003-1.nii.gz,100271,0,0.0,0.5228515625,True,400.0
20251028006-1.nii.gz,101515,0,0.0,0.5023562113444011,True,360.0
20251028010-1.nii.gz,140214,15330,0.1093328768881852,0.5711756089154412,True,425.0
20251028013-1.nii.gz,35552,11031,0.310277902790279,0.6404351128472222,True,508.0645122528076
20251028015-1.nii.gz,30926,0,0.0,0.5866776315789474,True,475.0
20251028023-1.nii.gz,256849,44791,0.1743865072474489,0.6321175519157858,True,530.399980545044
20251028025-1.nii.gz,26802,490,0.018282217744944408,0.6892225265502929,True,420.51280975341797
20251028027-1.nii.gz,12276,0,0.0,0.6735637037059929,True,476.0256361961365
20251028030-1.nii.gz,44781,5399,0.12056452513342712,0.6236649525316456,True,526.6666541099548
20251028031-1.nii.gz,202696,15035,0.07417511939061451,0.6177184466019418,True,515.0
20251028034-1.nii.gz,4075,1813,0.4449079754601227,0.6398628048780488,True,599.6253128051758
20251028036-1.nii.gz,34776,4590,0.13198757763975155,0.6499364098837209,True,578.4523887634277
20251028039-1.nii.gz,62574,7551,0.12067312302234155,0.6131140667459238,True,552.0
20251028054-1.nii.gz,119892,47284,0.3943882827878424,0.679868855607619,True,671.1573939323425
20251028055-1.nii.gz,48515,6466,0.13327836751520147,0.6092614860178154,True,535.0
20251028056-1.nii.gz,218704,16194,0.07404528495134977,0.6980878044577206,True,510.0
20251028058-1.nii.gz,64783,912,0.014077767315499437,0.5512053023937137,True,430.0
20251028059-1.nii.gz,11431,0,0.0,0.4762152777777777,True,450.0
20251028060-1.nii.gz,195780,15240,0.07784247624885075,0.587913941801264,True,445.0
20251028063-1.nii.gz,85667,23962,0.2797109738872611,0.6402393687855114,True,440.0
20251028066-1.nii.gz,134602,93037,0.6912007251006671,0.6944169576189159,True,565.0
20251028076-1.nii.gz,83611,2093,0.025032591405437083,0.4984756097560976,True,410.0
20251028077-1.nii.gz,310511,89016,0.2866758343504739,0.6695010277532762,True,620.0
