filename,orientation,si_axis_true,axis_mismatch,recorded_shape_z,true_shape_z,recorded_extent_z_mm,true_extent_z_mm,recorded_fov,true_fov
20251028003-1.nii.gz,LPS,2,False,80,80,400.0,400.0,extended,extended
20251028006-1.nii.gz,LPS,2,False,72,72,360.0,360.0,abdomen-only,abdomen-only
20251028008-1.nii.gz,LPS,2,False,106,106,530.0,530.0,extended,extended
20251028010-1.nii.gz,LPS,2,False,85,85,425.0,425.0,extended,extended
20251028013-1.nii.gz,LPS,2,False,63,63,508.0645,508.0645,extended,extended
20251028015-1.nii.gz,LPS,2,False,95,95,475.0,475.0,extended,extended
20251028023-1.nii.gz,LPS,2,False,51,51,530.39996,530.39996,extended,extended
20251028025-1.nii.gz,LPS,2,False,40,40,420.51282,420.51282,extended,extended
20251028027-1.nii.gz,LPS,2,False,79,79,476.02563,476.02563,extended,extended
20251028030-1.nii.gz,LPS,2,False,79,79,526.6666,526.6666,extended,extended
20251028031-1.nii.gz,LPS,2,False,103,103,515.0,515.0,extended,extended
20251028032-1.nii.gz,LPI,2,False,91,91,455.0,455.0,extended,extended
20251028034-1.nii.gz,LPS,2,False,41,41,599.6253,599.6253,extended,extended
20251028036-1.nii.gz,LPS,2,False,43,43,578.4524,578.4524,extended,extended
20251028039-1.nii.gz,LPS,2,False,46,46,552.0,552.0,extended,extended
20251028051-1.nii.gz,LPS,2,False,108,108,545.04675,545.04675,extended,extended
20251028054-1.nii.gz,LPS,2,False,109,109,671.1574,671.1574,extended,extended
20251028055-1.nii.gz,LPS,2,False,107,107,535.0,535.0,extended,extended
20251028056-1.nii.gz,LPS,2,False,102,102,510.0,510.0,extended,extended
20251028058-1.nii.gz,LPS,2,False,86,86,430.0,430.0,extended,extended
20251028059-1.nii.gz,LPS,2,False,90,90,450.0,450.0,extended,extended
20251028060-1.nii.gz,LPS,2,False,89,89,445.0,445.0,extended,extended
20251028063-1.nii.gz,LPS,2,False,88,88,440.0,440.0,extended,extended
20251028065-1.nii.gz,LPI,2,False,104,104,520.0,520.0,extended,extended
20251028066-1.nii.gz,LPS,2,False,113,113,565.0,565.0,extended,extended
20251028076-1.nii.gz,LPS,2,False,82,82,410.0,410.0,extended,extended
20251028077-1.nii.gz,LPS,2,False,124,124,620.0,620.0,extended,extended
20251028083-1.nii.gz,LPS,2,False,107,107,535.0,535.0,extended,extended
