features,k,precision,recall,auprc
"volume_ml, compactness",2,0.20388349514563106,0.2441860465116279,0.20471225170485763
volume_ml,1,0.22784810126582278,0.20930232558139536,0.204671722351412
"volume_ml, elongation",2,0.10625,0.5930232558139535,0.1982890485332509
"volume_ml, elongation, centroid_wall_distance_mm",3,0.1031578947368421,0.5697674418604651,0.1925186111055149
"volume_ml, centroid_wall_distance_mm, compactness",3,0.1810344827586207,0.2441860465116279,0.18951631449418097
"volume_ml, elongation, compactness",3,0.10933940774487472,0.5581395348837209,0.18787406866599524
"volume_ml, centroid_wall_distance_mm",2,0.22784810126582278,0.20930232558139536,0.18107451422960713
"volume_ml, elongation, wall_contact_fraction",3,0.09731543624161074,0.3372093023255814,0.17909502804304744
"volume_ml, wall_contact_fraction, centroid_wall_distance_mm",3,0.082687338501292,0.37209302325581395,0.17317413992578862
"volume_ml, wall_contact_fraction, compactness",3,0.06712962962962964,0.3372093023255814,0.17264559602805363
"volume_ml, wall_contact_fraction",2,0.05845511482254697,0.32558139534883723,0.1702870550701388
"elongation, wall_contact_fraction, centroid_wall_distance_mm",3,0.08208955223880597,0.38372093023255816,0.13799100792867341
"elongation, wall_contact_fraction, compactness",3,0.09037900874635568,0.36046511627906974,0.12334271530801388
compactness,1,0.10714285714285714,0.7325581395348837,0.11302122912815515
"wall_contact_fraction, compactness",2,0.0706401766004415,0.37209302325581395,0.1053308888579997
"wall_contact_fraction, centroid_wall_distance_mm, compactness",3,0.07692307692307693,0.38372093023255816,0.10431280229903034
elongation,1,0.11414790996784566,0.8255813953488372,0.09421628763822669
"elongation, compactness",2,0.1085814360770578,0.7209302325581395,0.09135169459557506
"elongation, centroid_wall_distance_mm",2,0.10830324909747292,0.6976744186046512,0.09090971960615894
"elongation, centroid_wall_distance_mm, compactness",3,0.11338289962825279,0.7093023255813954,0.08982035552861811
"centroid_wall_distance_mm, compactness",2,0.09282700421940929,0.5116279069767442,0.08301783453100267
"elongation, wall_contact_fraction",2,0.10158730158730159,0.37209302325581395,0.08139180590509239
"wall_contact_fraction, centroid_wall_distance_mm",2,0.06578947368421052,0.3488372093023256,0.07612302967198463
wall_contact_fraction,1,0.05725971370143149,0.32558139534883723,0.0644451293778875
centroid_wall_distance_mm,1,0.03389830508474576,0.11627906976744186,0.05872961166795767
