filename,n_gt_native,n_gt_after_resample,n_gt_after_roi_crop,n_gt_after_pad_crop,frac_lost_to_roi_crop,frac_lost_to_pad_crop
20251028003-1.nii.gz,100271,8680.0,8680.0,8680.0,0.0,0.0
20251028006-1.nii.gz,101515,13900.0,13900.0,13900.0,0.0,0.0
20251028010-1.nii.gz,140214,16018.0,16018.0,16018.0,0.0,0.0
20251028013-1.nii.gz,35552,5795.0,5795.0,5795.0,0.0,0.0
20251028015-1.nii.gz,30926,2472.0,2472.0,2472.0,0.0,0.0
20251028023-1.nii.gz,256849,50003.0,50003.0,50003.0,0.0,0.0
20251028025-1.nii.gz,26802,7472.0,7472.0,7472.0,0.0,0.0
20251028027-1.nii.gz,12276,2152.0,2152.0,2152.0,0.0,0.0
20251028030-1.nii.gz,44781,6844.0,6844.0,6844.0,0.0,0.0
20251028031-1.nii.gz,202696,29893.0,29893.0,29893.0,0.0,0.0
20251028034-1.nii.gz,4075,1811.0,1811.0,1811.0,0.0,0.0
20251028036-1.nii.gz,34776,11869.0,11869.0,11869.0,0.0,0.0
20251028039-1.nii.gz,62574,18374.0,18374.0,18374.0,0.0,0.0
20251028054-1.nii.gz,119892,21420.0,21420.0,21420.0,0.0,0.0
20251028055-1.nii.gz,48515,5461.0,5461.0,5461.0,0.0,0.0
20251028056-1.nii.gz,218704,35188.0,35188.0,35188.0,0.0,0.0
20251028058-1.nii.gz,64783,5022.0,5022.0,5022.0,0.0,0.0
20251028059-1.nii.gz,11431,1223.0,1223.0,1223.0,0.0,0.0
20251028060-1.nii.gz,195780,17143.0,17143.0,17143.0,0.0,0.0
20251028063-1.nii.gz,85667,7437.0,7437.0,7437.0,0.0,0.0
20251028066-1.nii.gz,134602,17547.0,17547.0,17547.0,0.0,0.0
20251028076-1.nii.gz,83611,4686.0,4686.0,4686.0,0.0,0.0
20251028077-1.nii.gz,310511,40444.0,40444.0,40444.0,0.0,0.0
