filepath,filename,status,n_found_organs,found_labels,elapsed_s,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,core_centroid_z_mm,z_window_method,error
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028003-1.nii.gz,20251028003-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",12.249135494232178,-126.5,-283.5,261.32207494563403,138.5,-75.5,541.3220749456341,361.32207494563403,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028008-1.nii.gz,20251028008-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",19.59142780303955,-174.4199981689453,-243.1500015258789,-581.3812191773156,138.5800018310547,-14.150001525878906,-301.3812191773157,-481.3812191773157,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028010-1.nii.gz,20251028010-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",15.078452348709106,-152.0,-259.7842102050781,-948.5017637673618,162.5,-29.284210205078125,-668.5017637673618,-848.5017637673618,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028013-1.nii.gz,20251028013-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",13.709055662155151,-136.1299285888672,-269.65354347229004,-357.16786440138503,182.8700714111328,-49.65354347229004,-77.16786440138503,-257.16786440138503,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028015-1.nii.gz,20251028015-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",9.478885412216187,-143.00599670410156,-258.375,142.26379537698568,133.99400329589844,-54.875,422.2637953769857,242.26379537698568,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028023-1.nii.gz,20251028023-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",18.314493894577026,-145.1699981689453,-285.0920000076294,-1148.1060398253187,146.8300018310547,-33.592000007629395,-868.1060398253187,-1048.1060398253187,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028025-1.nii.gz,20251028025-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",12.76522707939148,-117.26754760742188,-280.5350914001465,-1057.550813870668,147.73245239257812,-74.03509140014648,-777.550813870668,-957.550813870668,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028027-1.nii.gz,20251028027-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",12.616258382797241,-102.64208984375,-295.99473571777344,16.373330704419516,265.85791015625,-45.99473571777344,296.3733307044195,116.37333070441952,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028030-1.nii.gz,20251028030-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",15.61716914176941,-128.0959930419922,-255.79000091552734,-802.4416108566361,222.4040069580078,-20.790000915527344,-522.4416108566361,-702.4416108566361,fixed_window_core_centroid,
C:\Users\User1\pneumo_dataset\merged\Pneumo_Positive\20251028031-1.nii.gz,20251028031-1.nii.gz,ok,18,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,62",16.482715845108032,-138.97300720214844,-323.5,-332.3646376197138,178.52699279785156,-12.0,-52.36463761971379,-232.3646376197138,fixed_window_core_centroid,
